Area;Grupos_edad;Hombres;Mujeres;Total;Año
Bogotá; 0-4;251.852;241.435;493.287;2020
Bogotá; 5-9  ;246.306;236.517;482.823;2020
Bogotá; 10-14  ;249.424;241.276;490.700;2020
Bogotá; 15-19;277.245;273.634;550.879;2020
Bogotá; 20-24;354.946;356.644;711.590;2020
Bogotá; 25-29;373.077;376.169;749.246;2020
Bogotá; 30-34;332.708;340.455;673.163;2020
Bogotá; 35-39;298.000;315.704;613.704;2020
Bogotá; 40-44;255.201;284.724;539.925;2020
Bogotá; 45-49;219.418;257.705;477.123;2020
Bogotá; 50-54;210.886;257.211;468.097;2020
Bogotá; 55-59;193.227;241.982;435.209;2020
Bogotá; 60-64;154.051;198.658;352.709;2020
Bogotá; 65-69;111.204;149.260;260.464;2020
Bogotá; 70-74;76.352;106.789;183.141;2020
Bogotá; 75-79;48.851;70.936;119.787;2020
Bogotá; 80 y más;55.090;87.018;142.108;2020
